locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
ABBEYARD,ABBEYARD,100117,468965696,205407500,Victoria Locality Boundary layer (MapServer/2)
ABBOTSFORD,ABBOTSFORD,100118,856969691,205410311,Victoria Locality Boundary layer (MapServer/2)
ABERFELDIE,ABERFELDIE,100119,709274470,205410324,Victoria Locality Boundary layer (MapServer/2)
ABERFELDY,ABERFELDY,100120,808851328,205409822,Victoria Locality Boundary layer (MapServer/2)
ACHERON,ACHERON,100121,806917043,205408341,Victoria Locality Boundary layer (MapServer/2)
ADA,ADA,100122,820278117,205408517,Victoria Locality Boundary layer (MapServer/2)
ADAMS ESTATE,ADAMS ESTATE,100123,804193109,205410397,Victoria Locality Boundary layer (MapServer/2)
ADDINGTON,ADDINGTON,100124,829328716,205409585,Victoria Locality Boundary layer (MapServer/2)
ADELAIDE LEAD,ADELAIDE LEAD,100125,553683425,205408949,Victoria Locality Boundary layer (MapServer/2)
AGNES,AGNES,100126,812374107,205409656,Victoria Locality Boundary layer (MapServer/2)
AINTREE,AINTREE,123259,871913927,425652793,Victoria Locality Boundary layer (MapServer/2)
AIRE VALLEY,AIRE VALLEY,100127,805745225,205409648,Victoria Locality Boundary layer (MapServer/2)
AIREYS INLET,AIREYS INLET,100128,796758835,205409493,Victoria Locality Boundary layer (MapServer/2)
AIRLY,AIRLY,100129,500606623,205409345,Victoria Locality Boundary layer (MapServer/2)
AIRPORT WEST,AIRPORT WEST,100130,709274459,205410084,Victoria Locality Boundary layer (MapServer/2)
ALBACUTYA,ALBACUTYA,100131,468964884,205408088,Victoria Locality Boundary layer (MapServer/2)
ALBANVALE,ALBANVALE,100132,697028428,205410303,Victoria Locality Boundary layer (MapServer/2)
ALBERT PARK,ALBERT PARK,100133,879162271,205410237,Victoria Locality Boundary layer (MapServer/2)
ALBERTON,ALBERTON,100134,832994368,205408944,Victoria Locality Boundary layer (MapServer/2)
ALBERTON WEST,ALBERTON WEST,100135,832994367,205409347,Victoria Locality Boundary layer (MapServer/2)
ALBION,ALBION,100136,859613537,205410261,Victoria Locality Boundary layer (MapServer/2)
ALEXANDRA,ALEXANDRA,100137,806917032,205408260,Victoria Locality Boundary layer (MapServer/2)
ALFREDTON,ALFREDTON,100138,829328747,205409962,Victoria Locality Boundary layer (MapServer/2)
ALLAMBEE,ALLAMBEE,100139,812374027,205410124,Victoria Locality Boundary layer (MapServer/2)
ALLAMBEE RESERVE,ALLAMBEE RESERVE,100140,812374029,205408912,Victoria Locality Boundary layer (MapServer/2)
ALLAMBEE SOUTH,ALLAMBEE SOUTH,100143,812374039,205409844,Victoria Locality Boundary layer (MapServer/2)
ALLANS FLAT,ALLANS FLAT,100144,690912294,205408962,Victoria Locality Boundary layer (MapServer/2)
ALLANSFORD,ALLANSFORD,100146,798567265,205408191,Victoria Locality Boundary layer (MapServer/2)
ALLENDALE,ALLENDALE,100147,831486731,205409698,Victoria Locality Boundary layer (MapServer/2)
ALLESTREE,ALLESTREE,100148,795436783,205409854,Victoria Locality Boundary layer (MapServer/2)
ALMA,ALMA,100149,468965767,205409480,Victoria Locality Boundary layer (MapServer/2)
ALMONDS,ALMONDS,100150,468965141,205409252,Victoria Locality Boundary layer (MapServer/2)
ALMURTA,ALMURTA,100151,804193111,205409622,Victoria Locality Boundary layer (MapServer/2)
ALPHINGTON,ALPHINGTON,100153,857371260,205410239,Victoria Locality Boundary layer (MapServer/2)
ALTONA,ALTONA,100154,693473779,205409640,Victoria Locality Boundary layer (MapServer/2)
ALTONA MEADOWS,ALTONA MEADOWS,100155,772162557,205409833,Victoria Locality Boundary layer (MapServer/2)
ALTONA NORTH,ALTONA NORTH,100156,772162552,205409706,Victoria Locality Boundary layer (MapServer/2)
ALVIE,ALVIE,100157,810305666,205409271,Victoria Locality Boundary layer (MapServer/2)
AMHERST,AMHERST,100159,468965859,205409086,Victoria Locality Boundary layer (MapServer/2)
AMOR,AMOR,100160,808851352,205410012,Victoria Locality Boundary layer (MapServer/2)
AMPHITHEATRE,AMPHITHEATRE,100161,835229262,205407754,Victoria Locality Boundary layer (MapServer/2)
ANAKIE,ANAKIE,100163,792936283,205407681,Victoria Locality Boundary layer (MapServer/2)
ANCONA,ANCONA,100164,468965694,205408402,Victoria Locality Boundary layer (MapServer/2)
ANDERSON,ANDERSON,100165,804193131,205410039,Victoria Locality Boundary layer (MapServer/2)
ANGLERS REST,ANGLERS REST,100166,468965753,205408180,Victoria Locality Boundary layer (MapServer/2)
ANGLESEA,ANGLESEA,100167,796758826,205408086,Victoria Locality Boundary layer (MapServer/2)
ANNUELLO,ANNUELLO,100168,826549790,205407495,Victoria Locality Boundary layer (MapServer/2)
ANTWERP,ANTWERP,100169,571137467,205407846,Victoria Locality Boundary layer (MapServer/2)
APOLLO BAY,APOLLO BAY,100170,805745228,205408165,Victoria Locality Boundary layer (MapServer/2)
APPIN,APPIN,100171,468964932,205408973,Victoria Locality Boundary layer (MapServer/2)
APPIN SOUTH,APPIN SOUTH,100173,468964947,205408675,Victoria Locality Boundary layer (MapServer/2)
APSLEY,APSLEY,100174,468965678,205407489,Victoria Locality Boundary layer (MapServer/2)
ARAPILES,ARAPILES,100175,468965523,205409106,Victoria Locality Boundary layer (MapServer/2)
ARARAT,ARARAT,100176,879162268,205407722,Victoria Locality Boundary layer (MapServer/2)
ARAWATA,ARAWATA,100177,812374049,205409428,Victoria Locality Boundary layer (MapServer/2)
ARBUCKLE,ARBUCKLE,100178,468966019,205407766,Victoria Locality Boundary layer (MapServer/2)
ARCADIA,ARCADIA,100179,815858174,205408310,Victoria Locality Boundary layer (MapServer/2)
ARCADIA SOUTH,ARCADIA SOUTH,100180,815858183,205408373,Victoria Locality Boundary layer (MapServer/2)
ARCHDALE,ARCHDALE,100181,468965625,205408878,Victoria Locality Boundary layer (MapServer/2)
ARCHDALE JUNCTION,ARCHDALE JUNCTION,100183,537821438,205408968,Victoria Locality Boundary layer (MapServer/2)
ARCHERTON,ARCHERTON,100186,468965641,205408299,Victoria Locality Boundary layer (MapServer/2)
ARCHIES CREEK,ARCHIES CREEK,100187,804193137,205410354,Victoria Locality Boundary layer (MapServer/2)
ARDEER,ARDEER,100188,859613538,205410294,Victoria Locality Boundary layer (MapServer/2)
ARDMONA,ARDMONA,100189,815858142,205408932,Victoria Locality Boundary layer (MapServer/2)
AREEGRA,AREEGRA,100190,468965118,205407944,Victoria Locality Boundary layer (MapServer/2)
ARGYLE,ARGYLE,100191,824742322,205409508,Victoria Locality Boundary layer (MapServer/2)
ARMADALE,ARMADALE,100192,743233299,205410284,Victoria Locality Boundary layer (MapServer/2)
ARMSTRONG,ARMSTRONG,100193,504160918,205409532,Victoria Locality Boundary layer (MapServer/2)
ARMSTRONG CREEK,ARMSTRONG CREEK,104540,796758813,219263584,Victoria Locality Boundary layer (MapServer/2)
ARNOLD,ARNOLD,100194,835229242,205408711,Victoria Locality Boundary layer (MapServer/2)
ARNOLD WEST,ARNOLD WEST,100195,835229241,205409100,Victoria Locality Boundary layer (MapServer/2)
ARTHURS CREEK,ARTHURS CREEK,100196,713612006,205409018,Victoria Locality Boundary layer (MapServer/2)
ARTHURS SEAT,ARTHURS SEAT,100197,776340606,205409911,Victoria Locality Boundary layer (MapServer/2)
ASCOT (BALLARAT),ASCOT,100198,831486736,205409013,Victoria Locality Boundary layer (MapServer/2)
ASCOT (BENDIGO),ASCOT,100199,824742266,205409797,Victoria Locality Boundary layer (MapServer/2)
ASCOT VALE,ASCOT VALE,100200,856190240,205410160,Victoria Locality Boundary layer (MapServer/2)
ASHBOURNE,ASHBOURNE,100201,839445913,205408938,Victoria Locality Boundary layer (MapServer/2)
ASHBURTON,ASHBURTON,100202,857371269,205410231,Victoria Locality Boundary layer (MapServer/2)
ASHWOOD,ASHWOOD,100203,873205680,205410256,Victoria Locality Boundary layer (MapServer/2)
ASPENDALE,ASPENDALE,100204,720822385,205410230,Victoria Locality Boundary layer (MapServer/2)
ASPENDALE GARDENS,ASPENDALE GARDENS,100205,761136273,205410206,Victoria Locality Boundary layer (MapServer/2)
