locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,has_public_parking_data,parking_entity_count,source_owner_count,source_dataset_count,source_owners,source_datasets
ABBEYARD,ABBEYARD,100117,468965696,205407500,False,0,0,0,,
ABBOTSFORD,ABBOTSFORD,100118,856969691,205410311,False,0,0,0,,
ABERFELDIE,ABERFELDIE,100119,709274470,205410324,False,0,0,0,,
ABERFELDY,ABERFELDY,100120,808851328,205409822,False,0,0,0,,
ACHERON,ACHERON,100121,806917043,205408341,False,0,0,0,,
ADA,ADA,100122,820278117,205408517,False,0,0,0,,
ADAMS ESTATE,ADAMS ESTATE,100123,804193109,205410397,False,0,0,0,,
ADDINGTON,ADDINGTON,100124,829328716,205409585,False,0,0,0,,
ADELAIDE LEAD,ADELAIDE LEAD,100125,553683425,205408949,False,0,0,0,,
AGNES,AGNES,100126,812374107,205409656,False,0,0,0,,
AINTREE,AINTREE,123259,871913927,425652793,False,0,0,0,,
AIRE VALLEY,AIRE VALLEY,100127,805745225,205409648,False,0,0,0,,
AIREYS INLET,AIREYS INLET,100128,796758835,205409493,False,0,0,0,,
AIRLY,AIRLY,100129,500606623,205409345,False,0,0,0,,
AIRPORT WEST,AIRPORT WEST,100130,709274459,205410084,False,0,0,0,,
ALBACUTYA,ALBACUTYA,100131,468964884,205408088,False,0,0,0,,
ALBANVALE,ALBANVALE,100132,697028428,205410303,False,0,0,0,,
ALBERT PARK,ALBERT PARK,100133,879162271,205410237,False,0,0,0,,
ALBERTON,ALBERTON,100134,832994368,205408944,False,0,0,0,,
ALBERTON WEST,ALBERTON WEST,100135,832994367,205409347,False,0,0,0,,
ALBION,ALBION,100136,859613537,205410261,False,0,0,0,,
ALEXANDRA,ALEXANDRA,100137,806917032,205408260,False,0,0,0,,
ALFREDTON,ALFREDTON,100138,829328747,205409962,False,0,0,0,,
ALLAMBEE,ALLAMBEE,100139,812374027,205410124,False,0,0,0,,
ALLAMBEE RESERVE,ALLAMBEE RESERVE,100140,812374029,205408912,False,0,0,0,,
ALLAMBEE SOUTH,ALLAMBEE SOUTH,100143,812374039,205409844,False,0,0,0,,
ALLANS FLAT,ALLANS FLAT,100144,690912294,205408962,False,0,0,0,,
ALLANSFORD,ALLANSFORD,100146,798567265,205408191,False,0,0,0,,
ALLENDALE,ALLENDALE,100147,831486731,205409698,False,0,0,0,,
ALLESTREE,ALLESTREE,100148,795436783,205409854,False,0,0,0,,
ALMA,ALMA,100149,468965767,205409480,False,0,0,0,,
ALMONDS,ALMONDS,100150,468965141,205409252,False,0,0,0,,
ALMURTA,ALMURTA,100151,804193111,205409622,False,0,0,0,,
ALPHINGTON,ALPHINGTON,100153,857371260,205410239,False,0,0,0,,
ALTONA,ALTONA,100154,693473779,205409640,False,0,0,0,,
ALTONA MEADOWS,ALTONA MEADOWS,100155,772162557,205409833,False,0,0,0,,
ALTONA NORTH,ALTONA NORTH,100156,772162552,205409706,False,0,0,0,,
ALVIE,ALVIE,100157,810305666,205409271,False,0,0,0,,
AMHERST,AMHERST,100159,468965859,205409086,False,0,0,0,,
AMOR,AMOR,100160,808851352,205410012,False,0,0,0,,
AMPHITHEATRE,AMPHITHEATRE,100161,835229262,205407754,False,0,0,0,,
ANAKIE,ANAKIE,100163,792936283,205407681,False,0,0,0,,
ANCONA,ANCONA,100164,468965694,205408402,False,0,0,0,,
ANDERSON,ANDERSON,100165,804193131,205410039,False,0,0,0,,
ANGLERS REST,ANGLERS REST,100166,468965753,205408180,False,0,0,0,,
ANGLESEA,ANGLESEA,100167,796758826,205408086,False,0,0,0,,
ANNUELLO,ANNUELLO,100168,826549790,205407495,False,0,0,0,,
ANTWERP,ANTWERP,100169,571137467,205407846,False,0,0,0,,
APOLLO BAY,APOLLO BAY,100170,805745228,205408165,False,0,0,0,,
APPIN,APPIN,100171,468964932,205408973,False,0,0,0,,
APPIN SOUTH,APPIN SOUTH,100173,468964947,205408675,False,0,0,0,,
APSLEY,APSLEY,100174,468965678,205407489,False,0,0,0,,
ARAPILES,ARAPILES,100175,468965523,205409106,False,0,0,0,,
ARARAT,ARARAT,100176,879162268,205407722,False,0,0,0,,
ARAWATA,ARAWATA,100177,812374049,205409428,False,0,0,0,,
ARBUCKLE,ARBUCKLE,100178,468966019,205407766,False,0,0,0,,
ARCADIA,ARCADIA,100179,815858174,205408310,False,0,0,0,,
ARCADIA SOUTH,ARCADIA SOUTH,100180,815858183,205408373,False,0,0,0,,
ARCHDALE,ARCHDALE,100181,468965625,205408878,False,0,0,0,,
ARCHDALE JUNCTION,ARCHDALE JUNCTION,100183,537821438,205408968,False,0,0,0,,
ARCHERTON,ARCHERTON,100186,468965641,205408299,False,0,0,0,,
ARCHIES CREEK,ARCHIES CREEK,100187,804193137,205410354,False,0,0,0,,
ARDEER,ARDEER,100188,859613538,205410294,False,0,0,0,,
ARDMONA,ARDMONA,100189,815858142,205408932,False,0,0,0,,
AREEGRA,AREEGRA,100190,468965118,205407944,False,0,0,0,,
ARGYLE,ARGYLE,100191,824742322,205409508,False,0,0,0,,
ARMADALE,ARMADALE,100192,743233299,205410284,False,0,0,0,,
ARMSTRONG,ARMSTRONG,100193,504160918,205409532,False,0,0,0,,
ARMSTRONG CREEK,ARMSTRONG CREEK,104540,796758813,219263584,False,0,0,0,,
ARNOLD,ARNOLD,100194,835229242,205408711,False,0,0,0,,
ARNOLD WEST,ARNOLD WEST,100195,835229241,205409100,False,0,0,0,,
ARTHURS CREEK,ARTHURS CREEK,100196,713612006,205409018,False,0,0,0,,
ARTHURS SEAT,ARTHURS SEAT,100197,776340606,205409911,False,0,0,0,,
ASCOT (BALLARAT),ASCOT,100198,831486736,205409013,False,0,0,0,,
ASCOT (BENDIGO),ASCOT,100199,824742266,205409797,False,0,0,0,,
ASCOT VALE,ASCOT VALE,100200,856190240,205410160,False,0,0,0,,
ASHBOURNE,ASHBOURNE,100201,839445913,205408938,False,0,0,0,,
ASHBURTON,ASHBURTON,100202,857371269,205410231,False,0,0,0,,
ASHWOOD,ASHWOOD,100203,873205680,205410256,False,0,0,0,,
ASPENDALE,ASPENDALE,100204,720822385,205410230,False,0,0,0,,
ASPENDALE GARDENS,ASPENDALE GARDENS,100205,761136273,205410206,False,0,0,0,,
ATHLONE,ATHLONE,100206,812374020,205409229,False,0,0,0,,
ATTWOOD,ATTWOOD,100207,869805146,205410086,False,0,0,0,,
AUBREY,AUBREY,100208,468965130,205408514,False,0,0,0,,
AUCHMORE,AUCHMORE,100209,835229222,205408315,False,0,0,0,,
AVALON,AVALON,100210,728238606,205408767,False,0,0,0,,
AVENEL,AVENEL,100212,840422603,205407612,False,0,0,0,,
AVOCA,AVOCA,100213,835229258,205408035,False,0,0,0,,
AVON PLAINS,AVON PLAINS,100214,468965347,205408502,False,0,0,0,,
AVONDALE HEIGHTS,AVONDALE HEIGHTS,100215,857371256,205410060,False,0,0,0,,
AVONMORE,AVONMORE,100216,824742245,205408369,False,0,0,0,,
AVONSLEIGH,AVONSLEIGH,100217,820278150,205409963,False,0,0,0,,
AXE CREEK,AXE CREEK,100218,824742302,205408858,False,0,0,0,,
AXEDALE,AXEDALE,100219,824742278,205407951,False,0,0,0,,
AYRFORD,AYRFORD,100221,810305696,205409560,False,0,0,0,,
BACCHUS MARSH,BACCHUS MARSH,100222,857413522,205409813,False,0,0,0,,
BADDAGINNIE,BADDAGINNIE,100223,849561995,205408238,False,0,0,0,,
BADGER CREEK,BADGER CREEK,100225,820278091,205409806,False,0,0,0,,
BAEL BAEL,BAEL BAEL,100226,468964876,205408595,False,0,0,0,,
BAGSHOT,BAGSHOT,100227,824742254,205408947,False,0,0,0,,
BAGSHOT NORTH,BAGSHOT NORTH,100228,824742247,205408510,False,0,0,0,,
BAHGALLAH,BAHGALLAH,100229,795436745,205408078,False,0,0,0,,
BAILIESTON,BAILIESTON,100230,840422591,205408051,False,0,0,0,,
BAIRNSDALE,BAIRNSDALE,100231,836975039,205408443,False,0,0,0,,
BAKERY HILL,BAKERY HILL,100232,829328758,205410395,True,65,1,2,City of Ballarat,Car Parking Zones | Parking Meters
BALACLAVA,BALACLAVA,100233,743233305,205410372,False,0,0,0,,
BALD HILLS,BALD HILLS,100234,831486754,205409792,False,0,0,0,,
BALINTORE,BALINTORE,100236,805745173,205409658,False,0,0,0,,
BALLAN,BALLAN,100237,802469054,205407781,False,0,0,0,,
BALLANGEICH,BALLANGEICH,100238,798567224,205408205,False,0,0,0,,
BALLAPUR,BALLAPUR,100239,468964952,205408273,False,0,0,0,,
BALLARAT CENTRAL,BALLARAT CENTRAL,100240,829328751,205410161,True,744,1,2,City of Ballarat,Car Parking Zones | Parking Meters
BALLARAT EAST,BALLARAT EAST,100241,829328753,205410014,True,17,1,1,City of Ballarat,Car Parking Zones
BALLARAT NORTH,BALLARAT NORTH,100242,829328742,205410250,False,0,0,0,,
BALLENDELLA,BALLENDELLA,100243,468965192,205409668,False,0,0,0,,
BALLIANG,BALLIANG,100245,855324529,205407665,False,0,0,0,,
BALLIANG EAST,BALLIANG EAST,100246,802469097,205408802,False,0,0,0,,
BALLYROGAN,BALLYROGAN,100247,835229273,205407689,False,0,0,0,,
BALMATTUM,BALMATTUM,100248,840422589,205408167,False,0,0,0,,
BALMORAL,BALMORAL,100249,857371252,205407567,False,0,0,0,,
BALNARRING,BALNARRING,100250,776340601,205409301,False,0,0,0,,
BALNARRING BEACH,BALNARRING BEACH,100251,776340619,205410328,False,0,0,0,,
BALOOK,BALOOK,100253,800701855,205408992,False,0,0,0,,
BALWYN,BALWYN,100254,746966697,205410069,False,0,0,0,,
BALWYN NORTH,BALWYN NORTH,100255,857596576,205409895,False,0,0,0,,
BAMAWM,BAMAWM,100257,468965154,205408096,False,0,0,0,,
BAMAWM EXTENSION,BAMAWM EXTENSION,100258,468965082,205408102,False,0,0,0,,
BAMBRA,BAMBRA,100259,796758827,205408877,False,0,0,0,,
BAMGANIE,BAMGANIE,100260,792936285,205409162,False,0,0,0,,
BANDIANA,BANDIANA,100261,817075008,205409594,False,0,0,0,,
BANGERANG,BANGERANG,100262,468965052,205407658,False,0,0,0,,
BANGHOLME,BANGHOLME,100263,812633159,205409391,False,0,0,0,,
BANKSIA PENINSULA,BANKSIA PENINSULA,103706,517949158,213347126,False,0,0,0,,
BANNERTON,BANNERTON,100264,468964768,205407695,False,0,0,0,,
BANNOCKBURN,BANNOCKBURN,100265,792936294,205408220,False,0,0,0,,
BANYAN,BANYAN,100266,468964867,205407983,False,0,0,0,,
BANYENA,BANYENA,100267,468965404,205408467,False,0,0,0,,
BARANDUDA,BARANDUDA,100268,817075013,205409211,False,0,0,0,,
BARFOLD,BARFOLD,100269,814063481,205408957,False,0,0,0,,
BARINGHUP,BARINGHUP,100270,468965703,205408522,False,0,0,0,,
BARINGHUP WEST,BARINGHUP WEST,100271,468965705,205408731,False,0,0,0,,
BARJARG,BARJARG,100273,468965666,205408162,False,0,0,0,,
BARKERS CREEK,BARKERS CREEK,100274,841274358,205409420,False,0,0,0,,
BARKLY,BARKLY,100276,468965681,205408328,False,0,0,0,,
BARKSTEAD,BARKSTEAD,100277,831486760,205409462,False,0,0,0,,
BARMAH,BARMAH,100278,468964930,205407796,False,0,0,0,,
BARNADOWN,BARNADOWN,100279,824742257,205409461,False,0,0,0,,
BARNAWARTHA,BARNAWARTHA,100280,842441923,205408632,False,0,0,0,,
BARNAWARTHA NORTH,BARNAWARTHA NORTH,100281,842441924,205408459,False,0,0,0,,
BAROMI,BAROMI,100282,812374055,205410359,False,0,0,0,,
BARONGAROOK,BARONGAROOK,100283,805745199,205408824,False,0,0,0,,
BARONGAROOK WEST,BARONGAROOK WEST,100284,805745197,205408714,False,0,0,0,,
BARRABOOL,BARRABOOL,100285,796758805,205409192,False,0,0,0,,
BARRAKEE,BARRAKEE,100286,847360176,205409479,False,0,0,0,,
BARRAMUNGA,BARRAMUNGA,100287,805745210,205408154,False,0,0,0,,
BARRAPORT,BARRAPORT,100288,835229189,205407789,False,0,0,0,,
BARRAPORT WEST,BARRAPORT WEST,100289,877269555,205408168,False,0,0,0,,
BARRYS REEF,BARRYS REEF,100290,802469034,205409945,False,0,0,0,,
BARUNAH PARK,BARUNAH PARK,100291,805745153,205408149,False,0,0,0,,
BARUNAH PLAINS,BARUNAH PLAINS,100292,805745155,205409116,False,0,0,0,,
BARWIDGEE,BARWIDGEE,100293,847360187,205409201,False,0,0,0,,
BARWITE,BARWITE,100294,468965741,205407858,False,0,0,0,,
BARWON DOWNS,BARWON DOWNS,100295,805745202,205407862,False,0,0,0,,
BARWON HEADS,BARWON HEADS,100296,728238663,205409992,False,0,0,0,,
BASALT,BASALT,100297,831486715,205410021,False,0,0,0,,
BASS,BASS,100298,804193112,205408740,False,0,0,0,,
BATESFORD,BATESFORD,100300,792936302,205409463,False,0,0,0,,
BATHUMI,BATHUMI,100301,838124774,205409905,False,0,0,0,,
BAW BAW,BAW BAW,100302,808851332,205407584,False,0,0,0,,
BAW BAW VILLAGE,BAW BAW VILLAGE,100303,808851339,205410127,False,0,0,0,,
BAXTER,BAXTER,100304,785173887,205409860,False,0,0,0,,
BAYINDEEN,BAYINDEEN,100305,468966008,205409227,False,0,0,0,,
BAYLES,BAYLES,100306,763860819,205409387,False,0,0,0,,
BAYNTON,BAYNTON,100307,814063485,205408253,False,0,0,0,,
BAYNTON EAST,BAYNTON EAST,100308,814063486,205409805,False,0,0,0,,
BAYSWATER,BAYSWATER,100309,855619813,205409951,False,0,0,0,,
BAYSWATER NORTH,BAYSWATER NORTH,100310,855619811,205410002,False,0,0,0,,
BEACONSFIELD,BEACONSFIELD,100311,763860798,205409906,True,17,1,1,City of Casey,City of Casey Parking Restriction Zones
BEACONSFIELD UPPER,BEACONSFIELD UPPER,100313,820278160,205409240,False,0,0,0,,
BEALIBA,BEALIBA,100314,843399935,205407848,False,0,0,0,,
BEARII,BEARII,100316,508705795,205409200,False,0,0,0,,
BEARS LAGOON,BEARS LAGOON,100317,835229210,205408030,False,0,0,0,,
BEAUCHAMP,BEAUCHAMP,100318,468964862,205407543,False,0,0,0,,
BEAUFORT,BEAUFORT,100320,835229276,205407738,False,0,0,0,,
BEAUMARIS,BEAUMARIS,100321,855804508,205410078,False,0,0,0,,
BEAZLEYS BRIDGE,BEAZLEYS BRIDGE,100322,468965491,205408409,False,0,0,0,,
BEEAC,BEEAC,100323,805745163,205407955,False,0,0,0,,
BEECH FOREST,BEECH FOREST,100324,805745214,205407775,False,0,0,0,,
BEECHWORTH,BEECHWORTH,100325,842441929,205407712,False,0,0,0,,
BEENAK,BEENAK,100326,820278145,205409623,False,0,0,0,,
BELGRAVE,BELGRAVE,100327,820278151,205410137,False,0,0,0,,
BELGRAVE HEIGHTS,BELGRAVE HEIGHTS,100328,820278155,205410268,False,0,0,0,,
BELGRAVE SOUTH,BELGRAVE SOUTH,100329,820278156,205409749,False,0,0,0,,
BELL PARK,BELL PARK,100330,728238614,205410242,False,0,0,0,,
BELL POST HILL,BELL POST HILL,100331,728238611,205410055,False,0,0,0,,
BELLARINE,BELLARINE,100332,728238620,205409695,False,0,0,0,,
BELLBIRD CREEK,BELLBIRD CREEK,100333,468966351,205409486,False,0,0,0,,
BELLBRAE,BELLBRAE,100334,796758824,205408756,False,0,0,0,,
BELLBRIDGE,BELLBRIDGE,100335,849561985,205410382,False,0,0,0,,
BELLELLEN,BELLELLEN,100336,468965862,205409571,False,0,0,0,,
BELLFIELD (GRAMPIANS),BELLFIELD,100338,840422625,205407803,False,0,0,0,,
BELLFIELD (GREATER MELBOURNE),BELLFIELD,100339,856190234,205410364,False,0,0,0,,
BELLS BEACH,BELLS BEACH,100340,855004832,205409782,False,0,0,0,,
BELMONT,BELMONT,100341,728238642,205409892,False,0,0,0,,
BEMM RIVER,BEMM RIVER,100342,468966403,205407527,False,0,0,0,,
BENA,BENA,100343,812374053,205409170,False,0,0,0,,
BENALLA,BENALLA,100344,849561993,205407501,False,0,0,0,,
BENAMBRA,BENAMBRA,100345,468965563,205407418,False,0,0,0,,
BENAYEO,BENAYEO,100346,468965615,205407814,False,0,0,0,,
BEND OF ISLANDS,BEND OF ISLANDS,100347,698493597,205410016,False,0,0,0,,
BENDIGO,BENDIGO,100348,824742281,205410053,False,0,0,0,,
BENDOC,BENDOC,100349,574189494,205407433,False,0,0,0,,
BENGWORDEN,BENGWORDEN,100350,836975058,205408049,False,0,0,0,,
BENJEROOP,BENJEROOP,100351,509407419,205408717,False,0,0,0,,
BENLOCH,BENLOCH,100352,814063491,205409299,False,0,0,0,,
